,Assistant professors,Associate professors,College,Full professors,Instructors,Student-fac. ratio
501,47800.0,72300.0,University of St. Thomas (Tex.),90700.0,49400.0,11 to 1
502,57600.0,69800.0,Aurora University,90600.0,53700.0,15 to 1
503,64000.0,71300.0,California State University at Sacramento,90400.0,,27 to 1
504,61000.0,73800.0,Point Loma Nazarene University,90400.0,,15 to 1
505,55900.0,67700.0,State University of New York at Fredonia,90400.0,37700.0,16 to 1
506,60100.0,68900.0,University of Idaho,90300.0,48900.0,18 to 1
507,58700.0,75600.0,Canisius College,90300.0,,12 to 1
508,60900.0,71400.0,State University of New York College at Geneseo,90300.0,,20 to 1
509,62400.0,70700.0,California State University-Monterey Bay,90300.0,,22 to 1
510,62300.0,69600.0,California State University-Stanislaus,90200.0,,22 to 1
511,57500.0,66600.0,St. Mary's College of Maryland,90200.0,,10 to 1
512,63800.0,73100.0,California Institute of Integral Studies,90100.0,,14 to 1
513,60100.0,74600.0,Florida A&M University,90100.0,53500.0,19 to 1
514,62600.0,70800.0,Sonoma State University,90000.0,,22 to 1
515,54600.0,71500.0,University of Hartford,90000.0,50400.0,12 to 1
516,59600.0,71600.0,Lamar University,90000.0,41700.0,21 to 1
517,60600.0,73200.0,University of Alaska-Southeast,89900.0,,13 to 1
518,62400.0,70500.0,Westmont College,89900.0,,12 to 1
519,62200.0,74100.0,Southern Illinois University at Edwardsville,89900.0,39500.0,18 to 1
520,60000.0,73900.0,Keene State College,89900.0,,18 to 1
521,64500.0,71900.0,Ferris State University,89800.0,63800.0,16 to 1
522,57100.0,68000.0,State University of New York College at Oneonta,89800.0,,18 to 1
523,56500.0,69800.0,Transylvania University,89600.0,53900.0,12 to 1
524,61900.0,71400.0,Towson University,89500.0,50600.0,17 to 1
525,56200.0,74200.0,Kent State University-Tuscarawas,89500.0,,23 to 1
526,53300.0,66300.0,Joliet Junior College,89400.0,,25 to 1
527,69000.0,81100.0,Delta College,89400.0,56200.0,21 to 1
528,60500.0,70200.0,Appalachian State University,89300.0,58100.0,16 to 1
529,56500.0,67300.0,Empire State College of State University of New York,89200.0,,14 to 1
530,59400.0,71300.0,University of Portland,89200.0,50300.0,13 to 1
531,56200.0,68900.0,Assumption College,89100.0,48900.0,11 to 1
532,61800.0,68200.0,Humboldt State University,89000.0,,23 to 1
533,54100.0,63900.0,Monroe Community College,88900.0,48300.0,25 to 1
534,64700.0,66800.0,Niagara University,88900.0,46500.0,12 to 1
535,67500.0,74200.0,Mercy College,88800.0,49300.0,18 to 1
536,57500.0,72300.0,Western Carolina University,88800.0,46800.0,15 to 1
537,62900.0,72600.0,Saint Joseph College,88700.0,45200.0,13 to 1
538,59400.0,71400.0,University of Northern Iowa,88700.0,50700.0,17 to 1
539,56200.0,68700.0,State University of New York College at Plattsburgh,88700.0,,16 to 1
540,55800.0,64000.0,Hamline University,88500.0,51600.0,12 to 1
